timestamp,round_num,node_id,parameter_norm,parameter_summary
1749398899.5452726,1,0,3.196946859359741,"{'norm': 3.196946859359741, 'mean': -0.009292777627706528, 'std': 0.18815255165100098}"
1749398899.5453436,1,1,3.174935817718506,"{'norm': 3.174935817718506, 'mean': -0.008804086595773697, 'std': 0.18687762320041656}"
1749398899.5453813,1,2,3.1833384037017822,"{'norm': 3.1833384037017822, 'mean': -0.010299015790224075, 'std': 0.18729707598686218}"
1749398899.5454147,1,3,3.1964192390441895,"{'norm': 3.1964192390441895, 'mean': -0.010057701729238033, 'std': 0.18808208405971527}"
1749398899.5454466,1,4,3.196493148803711,"{'norm': 3.196493148803711, 'mean': -0.009492927230894566, 'std': 0.18811579048633575}"
1749398899.5454876,1,5,3.19938588142395,"{'norm': 3.19938588142395, 'mean': -0.010014529339969158, 'std': 0.18825943768024445}"
1749398899.5455196,1,6,3.201850414276123,"{'norm': 3.201850414276123, 'mean': -0.010485183447599411, 'std': 0.18837927281856537}"
1749398899.5455515,1,7,3.1922736167907715,"{'norm': 3.1922736167907715, 'mean': -0.00930576678365469, 'std': 0.18787620961666107}"
1749398899.5455842,1,8,3.1931748390197754,"{'norm': 3.1931748390197754, 'mean': -0.009375929832458496, 'std': 0.18792587518692017}"
1749398899.5456178,1,9,3.1899266242980957,"{'norm': 3.1899266242980957, 'mean': -0.009544013068079948, 'std': 0.18772578239440918}"
1749398902.0580685,2,0,3.198017120361328,"{'norm': 3.198017120361328, 'mean': -0.009186465293169022, 'std': 0.18822091817855835}"
1749398902.0581338,2,1,3.1767375469207764,"{'norm': 3.1767375469207764, 'mean': -0.009402377530932426, 'std': 0.18695476651191711}"
1749398902.0581722,2,2,3.1877126693725586,"{'norm': 3.1877126693725586, 'mean': -0.010208223946392536, 'std': 0.18756017088890076}"
1749398902.0582085,2,3,3.2111518383026123,"{'norm': 3.2111518383026123, 'mean': -0.010195444338023663, 'std': 0.18894405663013458}"
1749398902.0582533,2,4,3.2003819942474365,"{'norm': 3.2003819942474365, 'mean': -0.009035740979015827, 'std': 0.18836772441864014}"
1749398902.0582874,2,5,3.1910715103149414,"{'norm': 3.1910715103149414, 'mean': -0.008998202160000801, 'std': 0.18782025575637817}"
1749398902.0583186,2,6,3.2040109634399414,"{'norm': 3.2040109634399414, 'mean': -0.009418805129826069, 'std': 0.18856307864189148}"
1749398902.0583513,2,7,3.193392276763916,"{'norm': 3.193392276763916, 'mean': -0.00942574068903923, 'std': 0.1879362314939499}"
1749398902.0583806,2,8,3.203002691268921,"{'norm': 3.203002691268921, 'mean': -0.008960803039371967, 'std': 0.18852591514587402}"
1749398902.05841,2,9,3.187540292739868,"{'norm': 3.187540292739868, 'mean': -0.010161551646888256, 'std': 0.1875525414943695}"
1749398904.6536093,3,0,3.186159133911133,"{'norm': 3.186159133911133, 'mean': -0.00811875332146883, 'std': 0.18757060170173645}"
1749398904.6536705,3,1,3.185530662536621,"{'norm': 3.185530662536621, 'mean': -0.008577350527048111, 'std': 0.18751312792301178}"
1749398904.6537054,3,2,3.1878981590270996,"{'norm': 3.1878981590270996, 'mean': -0.00934863742440939, 'std': 0.18761593103408813}"
1749398904.6537383,3,3,3.1892056465148926,"{'norm': 3.1892056465148926, 'mean': -0.008973909541964531, 'std': 0.18771134316921234}"
1749398904.6537933,3,4,3.213075876235962,"{'norm': 3.213075876235962, 'mean': -0.010396276600658894, 'std': 0.18904666602611542}"
1749398904.6538262,3,5,3.2075464725494385,"{'norm': 3.2075464725494385, 'mean': -0.009287472814321518, 'std': 0.18877816200256348}"
1749398904.6538582,3,6,3.2072701454162598,"{'norm': 3.2072701454162598, 'mean': -0.009213938377797604, 'std': 0.18876545131206512}"
1749398904.6538892,3,7,3.200758695602417,"{'norm': 3.200758695602417, 'mean': -0.009081835858523846, 'std': 0.18838773667812347}"
1749398904.653919,3,8,3.205942392349243,"{'norm': 3.205942392349243, 'mean': -0.009144468232989311, 'std': 0.18869051337242126}"
1749398904.6539493,3,9,3.194319486618042,"{'norm': 3.194319486618042, 'mean': -0.008754218928515911, 'std': 0.1880233883857727}"
